phase1v2,,phase2v2,,phase3v2,,phase1,,phase2,,phase3,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.7935975344542534,45.41419677142751,1.2745280791360578,0.196939193975318,9.536343188059995,0.2399060507773143,-0.38152076341790986,43.42081955653599,-0.010095273344520983,11.022672886342022,-0.004734951214686589,-0.20720197566159015
0.9213485938684407,43.24795884129293,1.1462799338875769,2.254874547962558,10.089599721631924,0.7806733027625512,-0.009586817788635571,42.968004997243355,2.0053347967863595,8.696675962145918,0.013592245400652736,1.3973211152022529
0.9737911493867095,39.6738806248369,1.2941629695907686,4.474890951795089,13.398948663460459,1.80507400365358,0.3641832040179711,42.81530308037906,4.049327726266215,6.531488701844843,0.041568021849695214,2.7880694544595883
0.8246653990977819,37.18310778063602,1.445277063216885,7.39887410058531,15.950241707986919,2.668046079856836,0.7235130684405138,42.39507604132587,5.978737388884989,4.418245515516212,0.031077105681304396,4.766538827238094
0.9553989735177417,35.66668530738546,1.8707825373746338,10.10587928270514,21.395817022704392,4.122767773925361,1.1294352284539477,41.89419108163888,8.013234890591995,2.145979439335825,0.011141812427014397,6.530978194975333
1.148268277224762,32.68808485255191,2.2269445376480306,12.704675092271557,27.666803365271093,5.413917160645717,1.4917021005687414,41.513326663338376,9.980779416363019,0.1401979490386509,-0.028090640494680574,8.72296706592558
0.9377524264002197,31.82194385415502,2.648721868048561,14.599410953286352,30.840447874336697,6.871714573313952,1.861300580180235,41.25372887949625,-0.07196870592889759,40.64751415061229,-0.028371419272910092,9.311198606316246
0.9260709092942534,29.276833314692613,3.9036150567299153,18.009264437236702,32.287961823807926,7.248816314357079,2.227260737447342,40.875924237120735,-0.05162500717900098,38.02746526957954,-0.028830875455467364,10.273759308773698
1.2578757036871266,26.568802893039557,5.297692279014274,21.74383924244119,27.532590190011057,6.17222160086493,2.5601238544484963,40.1719894217152,-0.030592124155269573,33.9635753348606,-0.03847945528916874,10.487534060380199
1.176602169779656,23.86133169295008,7.521157215822235,26.181262349476196,26.08383352595409,5.524363419453458,2.959187518194255,40.10676823676872,-0.02819274186858145,28.93686944424946,2.024708532484191,8.108699675189996
1.0252395332363946,20.88319725608619,8.358746846611734,28.671103157737765,35.18224409399893,7.840565932222347,3.2476533493897457,39.52924114395853,-0.004658375184259711,19.632371240595504,2.0347655178135002,7.0393154102879905
0.8773564975332029,18.66318085225366,2.521219351551519,16.819800171494613,37.18202040537349,8.54182977295605,3.5513224590516326,39.610912778145405,-0.040215178645496064,14.123874491886127,1.998289801987148,3.4559400664935183
0.6603785308628076,16.389106363941387,3.565845232325483,19.41766394512172,38.973269209260714,8.810162919882195,3.924144480405529,38.790388779987204,-0.011014185709635527,12.947794291256926,2.0181485192110116,1.8519274824991854
0.5820875119611166,14.331450620735936,5.096372516124212,22.88129590277001,41.93614932458462,9.34766804607986,4.299761522197864,39.08073991632227,-0.0319449673594665,16.797781847651986,2.009674105177178,-0.3941751166189107
0.5045421218108785,12.436248741751477,6.624662913668612,25.85756626775529,44.348009792590936,9.831767512955302,4.639008138258964,38.93626047636543,-0.0057814902971773385,21.985297402158164,2.0096996305206534,-0.4476507111998771
0.4988256347164679,11.190769116057112,8.430078663833271,29.212522834880513,47.24154643403049,10.261063266599564,5.048133902525652,38.69026755913432,0.04031728001940005,25.408373588927102,3.992176482224789,6.263344968635735
-0.12054331481689573,11.245759236476154,9.886291615404684,31.484919658502033,49.65365544495396,10.799314021548682,5.394770950657298,38.54381727143243,0.029877414537961222,27.279891772543664,4.012749909065965,3.1620157363742507
-0.04772024009246323,12.112086642060916,13.060184667387432,32.99686835924393,52.96002187177671,11.17389926555569,5.78651073043819,38.341148652837504,1.95213998098362,40.13981506888652,4.013005162500718,2.6272597905645583
0.029825150057778416,14.007288521045368,19.335644782462808,35.26274093129032,54.6130808137295,11.334116243522352,6.152377127621184,38.15977138667631,2.010490916168392,37.894605856790065,4.004607324497311,0.2207304077035488
-0.03032223589208982,15.902676807217688,22.369359629173964,36.2333631584834,58.53981036175421,11.870316519404994,6.4932172609738945,38.16009469731118,2.050744382829101,33.56359320260103,3.99478006725928,0.8088343213768354
-0.08997253600766442,17.90636766953733,24.230946078614117,36.82651083025762,61.91527171954417,12.298959847891744,6.884000804647908,38.02561768012059,2.081042965534406,30.08806243499014,3.973925861639876,4.498395094028979
-0.01242714585741922,19.80156954852179,27.67773925362561,37.796573835887116,64.25828579950044,12.783152518361113,7.3828771970157785,37.846018622451176,2.035863107582943,24.739864843306293,5.997906921835016,4.258073985208064
0.20455082081297604,22.07564403683406,30.91749617865264,38.65861387615107,68.38956616833812,12.885862878872615,7.748603492923664,37.95815352764471,2.008882819529441,21.263568315391144,5.998264276643672,3.5094156610744918
0.006959201680142968,24.025370018267907,32.98611887807727,39.35978451329084,71.9718152331954,13.368377884651245,8.114323053193324,38.08439959492261,1.9739641496550893,14.418181702157533,6.008117059225178,2.8678361528202245
0.15434515154903394,26.137083845953104,37.3274180119052,40.220333296051905,76.79280219711939,13.740912649591777,8.480209657290999,37.86068884250833,1.9747554353028272,12.760438270147475,6.008474414033833,2.1191778286866523
0.10314531061650101,29.981918502777468,41.25489318868135,40.91898743615555,79.54690626203882,13.791335793908225,8.845987144049404,37.865578915860716,2.014141040285374,10.247595831711408,6.028154453853368,0.8894944067591126
0.06188718636989776,35.99280468254856,44.90698281325728,41.61801439063491,80.44240639252382,13.898426723334467,9.178512132011592,37.87002443709016,3.9874287683383645,36.209805560696076,6.018965330202223,0.14070845590816106
0.002236886254323167,37.99649554486821,50.97068436292236,42.746989523916056,80.7128210863811,12.815028147485378,9.710479367858248,38.02953782156837,3.969969433401188,32.78711225407927,8.013336991965897,1.9320770610119524
0.011432974188807066,40.000093203593934,53.58734419465882,42.851750363494034,80.6345300674794,10.75737240427992,10.066193811106375,38.217175189897205,3.9340552751312967,28.027273829503468,8.013566720057176,1.4507967097832193
0.43370739042363127,42.003131640756074,56.6175794405299,43.06425455765576,81.03145310616512,7.236979457927902,10.441929265418729,38.25945209678919,3.935969675891952,24.016604235930746,8.02336845195173,0.9161683906909062
0.23661285712509184,44.061160198337255,59.854602393468305,43.33063042910936,81.28720376791063,2.9586548857324075,10.791123687842399,38.173647186316366,3.9000555176220586,19.25676581135495,8.023521604012583,0.5953148232050793
0.17571984242378136,45.79409462028856,64.26226248617479,43.64957312753982,81.41619754191055,1.0631733959661602,1.7499792606584275,43.66652415016559,3.929945694831756,16.636844557039566,8.042767712993037,0.27471650915402535
10.089848264549072,45.83482459083623,68.73752625234562,43.69766618200799,81.3463569821919,0.8466614472654115,-0.016757387991600314,44.979803071975084,3.921879686293529,13.535132444625958,8.95899991704263,0.7682490252509382
20.27936223887459,45.87518174700817,76.31062893785185,43.687413786675634,81.20791857734034,0.6843939902322731,0.9665809440548299,44.88599743470298,3.9320387729967394,12.251845801400059,8.97850127945784,-0.08710523460981534
30.400526910984347,46.023934682921386,81.74874796505489,43.51759683853411,78.31562465048654,0.5258546769563495,2.016846726693768,44.579182806128635,3.9616226460847312,10.273631682056326,9.388897751855371,0.13228509256127552
40.3129155326896,45.685605636953376,2.858492090121654,0.30309808746224576,76.66380842311946,0.6363941393580177,2.952273989036865,44.85906819733643,3.9146304887465138,8.722201305621319,8.376817883055635,0.4396102280051295
50.29738160036785,46.05115013234912,5.269109843542228,0.516441113969357,72.3269830618002,0.7505685419229877,4.012009674105176,44.71280797922237,5.9729686612595465,36.50372989081534,8.36696510047413,1.0811897362593825
